================================================================================
ROBUSTNESS METRICS SUMMARY REPORT
================================================================================
Generated: 2026-01-23 15:16:34
Output directory: ./analysis/robustness_results

--------------------------------------------------------------------------------
OVERVIEW
--------------------------------------------------------------------------------
aupc_raw            :    810 rows,  7 columns
aupc_summary        :    162 rows, 11 columns
rd_curve            : 973137 rows, 10 columns
rd_summary          :   3294 rows, 12 columns
csv_curve           :  16470 rows,  8 columns
csv_summary         :   3294 rows, 12 columns

--------------------------------------------------------------------------------
AUPC (Area Under Perturbation Curve) SUMMARY
--------------------------------------------------------------------------------

Statistics by grouping:
      dataset  tune     eval_mode   model noise_type  n     mean      std      sem   ci_low  ci_high
 BNCI2014_001  True  CrossSession REEGNet        eog  5 0.647377 0.014886 0.006657 0.634329 0.660425
 BNCI2014_001  True  CrossSession REEGNet   gaussian  5 0.558018 0.008689 0.003886 0.550402 0.565635
 BNCI2014_001  True  CrossSubject CNN-NCP    dropout  5 0.561566 0.012216 0.005463 0.550858 0.572273
 BNCI2014_001  True  CrossSubject CNN-NCP        eog  5 0.622726 0.025127 0.011237 0.600701 0.644751
 BNCI2014_001  True  CrossSubject CNN-NCP   gaussian  5 0.566875 0.012980 0.005805 0.555497 0.578253
 BNCI2014_001  True  CrossSubject  EEGNet    dropout  5 0.603358 0.005491 0.002456 0.598544 0.608171
 BNCI2014_001  True  CrossSubject  EEGNet        eog  5 0.669700 0.025489 0.011399 0.647358 0.692043
 BNCI2014_001  True  CrossSubject  EEGNet   gaussian  5 0.671080 0.007429 0.003322 0.664568 0.677592
 BNCI2014_001  True  CrossSubject REEGNet    dropout  5 0.552068 0.005903 0.002640 0.546894 0.557242
 BNCI2014_001  True  CrossSubject REEGNet        eog  5 0.651886 0.013476 0.006027 0.640073 0.663699
 BNCI2014_001  True  CrossSubject REEGNet   gaussian  5 0.561054 0.010999 0.004919 0.551413 0.570694
 BNCI2014_001  True WithinSession CNN-NCP    dropout  5 0.568561 0.003834 0.001715 0.565200 0.571922
 BNCI2014_001  True WithinSession CNN-NCP        eog  5 0.604423 0.009990 0.004468 0.595667 0.613180
 BNCI2014_001  True WithinSession CNN-NCP   gaussian  5 0.582937 0.007341 0.003283 0.576503 0.589372
 BNCI2014_001  True WithinSession  EEGNet    dropout  5 0.590764 0.007798 0.003488 0.583929 0.597600
 BNCI2014_001  True WithinSession  EEGNet        eog  5 0.599979 0.012372 0.005533 0.589135 0.610823
 BNCI2014_001  True WithinSession  EEGNet   gaussian  5 0.623478 0.006776 0.003030 0.617539 0.629417
 BNCI2014_001  True WithinSession REEGNet    dropout  5 0.549529 0.005566 0.002489 0.544650 0.554408
 BNCI2014_001  True WithinSession REEGNet        eog  5 0.627668 0.005921 0.002648 0.622477 0.632858
 BNCI2014_001  True WithinSession REEGNet   gaussian  5 0.574728 0.009683 0.004331 0.566240 0.583216
Lee2019_SSVEP False  CrossSession CNN-NCP    dropout  5 0.575848 0.007373 0.003297 0.569385 0.582310
Lee2019_SSVEP False  CrossSession CNN-NCP        eog  5 0.553228 0.010371 0.004638 0.544138 0.562318
Lee2019_SSVEP False  CrossSession CNN-NCP   gaussian  5 0.567096 0.005890 0.002634 0.561933 0.572259
Lee2019_SSVEP False  CrossSession  EEGNet    dropout  5 0.846605 0.007965 0.003562 0.839623 0.853586
Lee2019_SSVEP False  CrossSession  EEGNet        eog  5 0.594283 0.017881 0.007997 0.578609 0.609957
Lee2019_SSVEP False  CrossSession  EEGNet   gaussian  5 0.917425 0.006632 0.002966 0.911613 0.923238
Lee2019_SSVEP False  CrossSession REEGNet    dropout  5 0.557739 0.002416 0.001081 0.555621 0.559857
Lee2019_SSVEP False  CrossSession REEGNet        eog  5 0.561477 0.002903 0.001298 0.558932 0.564022
Lee2019_SSVEP False  CrossSession REEGNet   gaussian  5 0.540987 0.010995 0.004917 0.531350 0.550624
Lee2019_SSVEP False  CrossSubject CNN-NCP    dropout  5 0.691140 0.019864 0.008883 0.673728 0.708551
Lee2019_SSVEP False  CrossSubject CNN-NCP        eog  5 0.617987 0.046750 0.020907 0.577008 0.658965
Lee2019_SSVEP False  CrossSubject CNN-NCP   gaussian  5 0.629279 0.023299 0.010420 0.608856 0.649701
Lee2019_SSVEP False  CrossSubject  EEGNet    dropout  5 0.803708 0.007509 0.003358 0.797126 0.810290
Lee2019_SSVEP False  CrossSubject  EEGNet        eog  5 0.557461 0.008612 0.003851 0.549912 0.565009
Lee2019_SSVEP False  CrossSubject  EEGNet   gaussian  5 0.970436 0.001330 0.000595 0.969270 0.971602
Lee2019_SSVEP False  CrossSubject REEGNet    dropout  5 0.546972 0.001717 0.000768 0.545466 0.548477
Lee2019_SSVEP False  CrossSubject REEGNet        eog  5 0.583942 0.009335 0.004175 0.575760 0.592124
Lee2019_SSVEP False  CrossSubject REEGNet   gaussian  5 0.520195 0.003886 0.001738 0.516789 0.523601
Lee2019_SSVEP False WithinSession CNN-NCP    dropout  5 0.582895 0.009582 0.004285 0.574497 0.591294
Lee2019_SSVEP False WithinSession CNN-NCP        eog  5 0.594955 0.009222 0.004124 0.586872 0.603039
