noise_type,intensity,clean_score,corrupted_score,clean_roc_auc,clean_accuracy,clean_precision,clean_recall,clean_f1,corrupted_roc_auc,corrupted_accuracy,corrupted_precision,corrupted_recall,corrupted_f1,relative_drop,training_time,evaluation_time,total_time,session,cv_type,split_level,subject,model,dataset,mode,eval_mode,seed,tune,batch_size,optimizer__lr,optimizer__weight_decay,module__ncp_hidden_dim,module__drop_prob,module__F1,module__D,module__kernel_length,module__temporal_kernel_size,module__temporal_stride,paradigm,module__sparsity,module__use_ms_block,module__use_snr_gate,module__use_forward_model,module__use_feedback_controller,module__use_delay,module__use_uncertainty_mixer,module__lstm_hidden_size
eog,53.10526315789473,0.8508873456790124,0.8636188271604938,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8636188271604938,0.7847222222222222,0.8059701492537313,0.75,0.776978417266187,-0.0149625935162093,70.67967200279236,0.4140491485595703,71.09372115135193,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,58.315789473684205,0.8508873456790124,0.8335262345679012,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8335262345679012,0.75,0.7903225806451613,0.6805555555555556,0.7313432835820894,0.0204035366130129,70.67967200279236,0.444413423538208,71.12408542633057,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,63.526315789473685,0.8508873456790124,0.8402777777777778,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8402777777777778,0.7708333333333334,0.8,0.7222222222222222,0.759124087591241,0.0124688279301745,70.67967200279236,0.4288778305053711,71.10854983329773,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,68.73684210526315,0.8508873456790124,0.8572530864197531,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8572530864197531,0.7777777777777778,0.8125,0.7222222222222222,0.7647058823529411,-0.0074812967581046,70.67967200279236,0.4245607852935791,71.10423278808594,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,73.94736842105263,0.8508873456790124,0.8350694444444444,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8350694444444444,0.7708333333333334,0.7910447761194029,0.7361111111111112,0.7625899280575541,0.0185898889140784,70.67967200279236,0.4360432624816894,71.11571526527405,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,79.1578947368421,0.8508873456790124,0.8315972222222222,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8315972222222222,0.7361111111111112,0.7833333333333333,0.6527777777777778,0.7121212121212122,0.022670596236681,70.67967200279236,0.4177656173706054,71.09743762016296,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,84.36842105263158,0.8508873456790124,0.8503086419753086,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8503086419753086,0.75,0.8214285714285714,0.6388888888888888,0.7187499999999999,0.0006801178871004,70.67967200279236,0.4148712158203125,71.09454321861267,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,89.57894736842105,0.8508873456790124,0.8757716049382716,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8757716049382716,0.75,0.7903225806451613,0.6805555555555556,0.7313432835820894,-0.0292450691453184,70.67967200279236,0.4260334968566894,71.10570549964905,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,94.78947368421052,0.8508873456790124,0.8809799382716049,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8809799382716049,0.7708333333333334,0.8823529411764706,0.625,0.7317073170731708,-0.0353661301292223,70.67967200279236,0.3944485187530517,71.07412052154541,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
eog,100.0,0.8508873456790124,0.873070987654321,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.873070987654321,0.6944444444444444,0.8043478260869565,0.5138888888888888,0.6271186440677965,-0.0260711856721831,70.67967200279236,0.4149272441864013,71.09459924697876,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,1.0,0.8508873456790124,0.8508873456790124,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8508873456790124,0.7847222222222222,0.7157894736842105,0.9444444444444444,0.81437125748503,0.0,70.67967200279236,0.4138405323028564,71.09351253509521,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,4.894736842105264,0.8508873456790124,0.8506944444444444,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8506944444444444,0.7638888888888888,0.6938775510204082,0.9444444444444444,0.7999999999999999,0.0002267059623668,70.67967200279236,0.4027304649353027,71.08240246772766,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
