================================================================================
ROBUSTNESS METRICS SUMMARY REPORT
================================================================================
Generated: 2026-01-23 15:35:03
Output directory: ./analysis/robustness_results\hydra

--------------------------------------------------------------------------------
OVERVIEW
--------------------------------------------------------------------------------
aupc_raw            :   1080 rows,  7 columns
aupc_summary        :    216 rows, 11 columns
rd_curve            : 1298007 rows, 10 columns
rd_summary          :   4392 rows, 12 columns
csv_curve           :  21960 rows,  8 columns
csv_summary         :   4392 rows, 12 columns

--------------------------------------------------------------------------------
AUPC (Area Under Perturbation Curve) SUMMARY
--------------------------------------------------------------------------------

Statistics by grouping:
      dataset  tune     eval_mode   model noise_type  n     mean      std      sem   ci_low  ci_high
 BNCI2014_001  True  CrossSession   HYDRA   gaussian  5 0.658297 0.017212 0.007697 0.643210 0.673384
 BNCI2014_001  True  CrossSession REEGNet    dropout  5 0.562533 0.009026 0.004036 0.554621 0.570444
 BNCI2014_001  True  CrossSession REEGNet        eog  5 0.647377 0.014886 0.006657 0.634329 0.660425
 BNCI2014_001  True  CrossSession REEGNet   gaussian  5 0.558018 0.008689 0.003886 0.550402 0.565635
 BNCI2014_001  True  CrossSubject CNN-NCP    dropout  5 0.561566 0.012216 0.005463 0.550858 0.572273
 BNCI2014_001  True  CrossSubject CNN-NCP        eog  5 0.622726 0.025127 0.011237 0.600701 0.644751
 BNCI2014_001  True  CrossSubject CNN-NCP   gaussian  5 0.566875 0.012980 0.005805 0.555497 0.578253
 BNCI2014_001  True  CrossSubject  EEGNet    dropout  5 0.603358 0.005491 0.002456 0.598544 0.608171
 BNCI2014_001  True  CrossSubject  EEGNet        eog  5 0.669700 0.025489 0.011399 0.647358 0.692043
 BNCI2014_001  True  CrossSubject  EEGNet   gaussian  5 0.671080 0.007429 0.003322 0.664568 0.677592
 BNCI2014_001  True  CrossSubject   HYDRA    dropout  5 0.589158 0.020109 0.008993 0.571532 0.606784
 BNCI2014_001  True  CrossSubject   HYDRA        eog  5 0.709038 0.031959 0.014293 0.681024 0.737051
 BNCI2014_001  True  CrossSubject   HYDRA   gaussian  5 0.647525 0.025742 0.011512 0.624961 0.670089
 BNCI2014_001  True  CrossSubject REEGNet    dropout  5 0.552068 0.005903 0.002640 0.546894 0.557242
 BNCI2014_001  True  CrossSubject REEGNet        eog  5 0.651886 0.013476 0.006027 0.640073 0.663699
 BNCI2014_001  True  CrossSubject REEGNet   gaussian  5 0.561054 0.010999 0.004919 0.551413 0.570694
 BNCI2014_001  True WithinSession CNN-NCP    dropout  5 0.568561 0.003834 0.001715 0.565200 0.571922
 BNCI2014_001  True WithinSession CNN-NCP        eog  5 0.604423 0.009990 0.004468 0.595667 0.613180
 BNCI2014_001  True WithinSession CNN-NCP   gaussian  5 0.582937 0.007341 0.003283 0.576503 0.589372
 BNCI2014_001  True WithinSession  EEGNet    dropout  5 0.590764 0.007798 0.003488 0.583929 0.597600
 BNCI2014_001  True WithinSession  EEGNet        eog  5 0.599979 0.012372 0.005533 0.589135 0.610823
 BNCI2014_001  True WithinSession  EEGNet   gaussian  5 0.623478 0.006776 0.003030 0.617539 0.629417
 BNCI2014_001  True WithinSession   HYDRA    dropout  5 0.600185 0.007513 0.003360 0.593600 0.606771
 BNCI2014_001  True WithinSession   HYDRA        eog  5 0.683093 0.015892 0.007107 0.669163 0.697023
 BNCI2014_001  True WithinSession   HYDRA   gaussian  5 0.660340 0.009907 0.004430 0.651656 0.669024
 BNCI2014_001  True WithinSession REEGNet    dropout  5 0.549529 0.005566 0.002489 0.544650 0.554408
 BNCI2014_001  True WithinSession REEGNet        eog  5 0.627668 0.005921 0.002648 0.622477 0.632858
 BNCI2014_001  True WithinSession REEGNet   gaussian  5 0.574728 0.009683 0.004331 0.566240 0.583216
Lee2019_SSVEP False  CrossSession CNN-NCP    dropout  5 0.582087 0.007425 0.003321 0.575578 0.588595
Lee2019_SSVEP False  CrossSession CNN-NCP        eog  5 0.559471 0.010406 0.004654 0.550350 0.568592
Lee2019_SSVEP False  CrossSession CNN-NCP   gaussian  5 0.573394 0.005935 0.002654 0.568191 0.578596
Lee2019_SSVEP False  CrossSession  EEGNet    dropout  5 0.854069 0.007983 0.003570 0.847071 0.861066
Lee2019_SSVEP False  CrossSession  EEGNet        eog  5 0.601247 0.017997 0.008048 0.585472 0.617022
Lee2019_SSVEP False  CrossSession  EEGNet   gaussian  5 0.924895 0.006665 0.002980 0.919053 0.930737
Lee2019_SSVEP False  CrossSession   HYDRA    dropout  5 0.585149 0.012931 0.005783 0.573814 0.596483
Lee2019_SSVEP False  CrossSession   HYDRA        eog  5 0.565112 0.008014 0.003584 0.558088 0.572136
Lee2019_SSVEP False  CrossSession   HYDRA   gaussian  5 0.640713 0.024717 0.011054 0.619047 0.662378
Lee2019_SSVEP False  CrossSession REEGNet    dropout  5 0.563684 0.002448 0.001095 0.561539 0.565830
Lee2019_SSVEP False  CrossSession REEGNet        eog  5 0.567442 0.002894 0.001294 0.564906 0.569978
Lee2019_SSVEP False  CrossSession REEGNet   gaussian  5 0.546972 0.011013 0.004925 0.537319 0.556625
Lee2019_SSVEP False  CrossSubject CNN-NCP    dropout  5 0.698414 0.019973 0.008932 0.680906 0.715921
Lee2019_SSVEP False  CrossSubject CNN-NCP        eog  5 0.625297 0.046842 0.020948 0.584238 0.666356
Lee2019_SSVEP False  CrossSubject CNN-NCP   gaussian  5 0.636601 0.023332 0.010434 0.616150 0.657052
Lee2019_SSVEP False  CrossSubject  EEGNet    dropout  5 0.811422 0.007512 0.003359 0.804837 0.818006
Lee2019_SSVEP False  CrossSubject  EEGNet        eog  5 0.563996 0.008674 0.003879 0.556392 0.571599
Lee2019_SSVEP False  CrossSubject  EEGNet   gaussian  5 0.978166 0.001333 0.000596 0.976998 0.979334
Lee2019_SSVEP False  CrossSubject   HYDRA    dropout  5 0.666666 0.066652 0.029808 0.608243 0.725089
Lee2019_SSVEP False  CrossSubject   HYDRA        eog  5 0.584517 0.023219 0.010384 0.564165 0.604869
Lee2019_SSVEP False  CrossSubject   HYDRA   gaussian  5 0.776794 0.087036 0.038924 0.700504 0.853085
Lee2019_SSVEP False  CrossSubject REEGNet    dropout  5 0.552886 0.001730 0.000774 0.551370 0.554403
Lee2019_SSVEP False  CrossSubject REEGNet        eog  5 0.589879 0.009343 0.004178 0.581690 0.598068
Lee2019_SSVEP False  CrossSubject REEGNet   gaussian  5 0.526149 0.003884 0.001737 0.522744 0.529553
Lee2019_SSVEP False WithinSession CNN-NCP    dropout  5 0.589238 0.009629 0.004306 0.580798 0.597679
Lee2019_SSVEP False WithinSession CNN-NCP        eog  5 0.601434 0.009222 0.004124 0.593350 0.609518
Lee2019_SSVEP False WithinSession CNN-NCP   gaussian  5 0.586359 0.009172 0.004102 0.578319 0.594398
Lee2019_SSVEP False WithinSession  EEGNet    dropout  5 0.855845 0.009819 0.004391 0.847238 0.864451
Lee2019_SSVEP False WithinSession  EEGNet        eog  5 0.702406 0.021797 0.009748 0.683300 0.721512
Lee2019_SSVEP False WithinSession  EEGNet   gaussian  5 0.918724 0.010943 0.004894 0.909132 0.928316
Lee2019_SSVEP False WithinSession   HYDRA    dropout  5 0.593043 0.015855 0.007091 0.579145 0.606941
Lee2019_SSVEP False WithinSession   HYDRA        eog  5 0.583155 0.011913 0.005328 0.572713 0.593597
Lee2019_SSVEP False WithinSession   HYDRA   gaussian  5 0.659618 0.030693 0.013726 0.632715 0.686522
